10	 exec	 EX0010	 js	 js0003	 js	 js0006	 1734544091.471466	 12.37	 54
17	 exec	 EX0017	 op	 op0004	 js	 js0009	 1734544091.471807	 11.98	 34
19	 exec	 EX0019	 js	 js0011	 js	 js0009	 1734544091.471906	 11.98	 13
20	 exec	 EX0020	 js	 js0011	 js	 js0000	 1734544091.471952	 12.39	 35
27	 exec	 EX0027	 js	 js0011	 op	 op0007	 1734544091.472237	 12.48	 5
28	 exec	 EX0028	 js	 js0001	 op	 op0007	 1734544091.472264	 11.89	 44
29	 exec	 EX0029	 op	 op0006	 op	 op0007	 1734544091.472289	 11.79	 3
31	 exec	 EX0031	 op	 op0006	 js	 js0015	 1734544091.472337	 11.79	 39
35	 exec	 EX0035	 op	 op0006	 op	 op0010	 1734544091.47245	 11.79	 17
36	 exec	 EX0036	 op	 op0008	 op	 op0010	 1734544091.472474	 11.61	 20
40	 exec	 EX0040	 js	 js0017	 js	 js0013	 1734544091.472573	 12.61	 37
49	 exec	 EX0049	 js	 js0019	 op	 op0016	 1734544091.472815	 12.31	 54
54	 exec	 EX0054	 js	 js0019	 js	 js0023	 1734544091.472943	 12.31	 3
55	 exec	 EX0055	 op	 op0015	 js	 js0023	 1734544091.472967	 12.25	 68
56	 exec	 EX0056	 js	 js0016	 js	 js0023	 1734544091.472991	 12.14	 10
58	 exec	 EX0058	 js	 js0016	 js	 js0024	 1734544091.473041	 12.14	 50
59	 exec	 EX0059	 op	 op0008	 js	 js0024	 1734544091.473079	 11.61	 10
61	 exec	 EX0061	 js	 js0025	 js	 js0013	 1734544091.473141	 12.61	 15
62	 exec	 EX0062	 js	 js0025	 op	 op0009	 1734544091.473165	 12.67	 34
63	 exec	 EX0063	 js	 js0025	 js	 js0018	 1734544091.473188	 12.71	 13
69	 exec	 EX0069	 op	 op0020	 js	 js0026	 1734544091.473342	 12.12	 38
74	 exec	 EX0074	 js	 js0030	 js	 js0028	 1734544091.47359	 12.1	 23
90	 exec	 EX0090	 op	 op0033	 op	 op0027	 1734544091.474105	 11.9	 51
92	 exec	 EX0092	 js	 js0034	 op	 op0027	 1734544091.474155	 11.9	 38
93	 exec	 EX0093	 js	 js0034	 op	 op0026	 1734544091.474179	 11.95	 17
