0	 o	 op	 op0000	 1734443665.940447	 12.0	 100
1	 b	 js	 js0000	 1734443665.94057	 11.75	 10
2	 b	 js	 js0001	 1734443665.940623	 11.75	 10
3	 b	 op	 op0001	 1734443665.940671	 11.75	 10
4	 b	 op	 op0002	 1734443665.940718	 11.75	 10
5	 o	 op	 op0003	 1734443665.940763	 12.0	 100
6	 b	 js	 js0002	 1734443665.940808	 11.75	 10
7	 b	 js	 js0003	 1734443665.940851	 11.75	 10
8	 b	 op	 op0004	 1734443665.940895	 11.75	 10
9	 b	 op	 op0005	 1734443665.940938	 11.75	 10
10	 o	 js	 js0004	 1734443665.940983	 11.75	 55
