8	 exec	 EX0008	 js	 js0002	 op	 op0003	 1734545268.495937	 13.23	 31
10	 exec	 EX0010	 js	 js0002	 op	 op0004	 1734545268.496507	 13.23	 50
11	 exec	 EX0011	 op	 op0002	 op	 op0004	 1734545268.496578	 12.08	 11
19	 exec	 EX0019	 js	 js0005	 op	 op0008	 1734545268.498043	 12.98	 43
21	 exec	 EX0021	 js	 js0005	 js	 js0007	 1734545268.498284	 12.98	 19
22	 exec	 EX0022	 js	 js0006	 js	 js0007	 1734545268.498366	 12.49	 23
29	 exec	 EX0029	 js	 js0009	 js	 js0004	 1734545268.501625	 13.4	 40
32	 exec	 EX0032	 op	 op0013	 js	 js0010	 1734545268.501839	 13.04	 47
33	 exec	 EX0033	 op	 op0011	 js	 js0010	 1734545268.501926	 12.84	 4
38	 exec	 EX0038	 op	 op0011	 js	 js0013	 1734545268.502256	 12.84	 44
39	 exec	 EX0039	 js	 js0011	 js	 js0013	 1734545268.503136	 12.73	 34
42	 exec	 EX0042	 js	 js0011	 op	 op0016	 1734545268.518203	 12.73	 18
43	 exec	 EX0043	 op	 op0009	 op	 op0016	 1734545268.518312	 12.52	 30
49	 exec	 EX0049	 op	 op0009	 js	 js0015	 1734545268.518915	 12.52	 36
50	 exec	 EX0050	 js	 js0006	 js	 js0015	 1734545268.518977	 12.49	 8
54	 exec	 EX0054	 op	 op0020	 js	 js0017	 1734545268.519229	 12.73	 21
56	 exec	 EX0056	 js	 js0006	 op	 op0021	 1734545268.519352	 12.49	 26
57	 exec	 EX0057	 op	 op0010	 op	 op0021	 1734545268.519409	 12.39	 21
59	 exec	 EX0059	 op	 op0022	 js	 js0017	 1734545268.519528	 12.72	 16
61	 exec	 EX0061	 op	 op0022	 op	 op0023	 1734545268.519653	 12.92	 38
65	 exec	 EX0065	 op	 op0022	 op	 op0025	 1734545268.519902	 12.92	 10
73	 exec	 EX0073	 op	 op0010	 op	 op0030	 1734545268.520407	 12.39	 24
83	 exec	 EX0083	 op	 op0002	 js	 js0024	 1734545268.521062	 12.08	 36
84	 exec	 EX0084	 op	 op0001	 js	 js0024	 1734545268.521106	 12.04	 23
86	 exec	 EX0086	 op	 op0036	 op	 op0030	 1734545268.521188	 12.29	 28
87	 exec	 EX0087	 op	 op0036	 js	 js0022	 1734545268.521227	 12.43	 29
90	 exec	 EX0090	 op	 op0001	 op	 op0038	 1734545268.52135	 12.04	 37
91	 exec	 EX0091	 op	 op0032	 op	 op0038	 1734545268.521388	 12.03	 22
94	 exec	 EX0094	 op	 op0032	 js	 js0025	 1734545268.52151	 12.03	 26
95	 exec	 EX0095	 js	 js0018	 js	 js0025	 1734545268.521547	 11.98	 5
99	 exec	 EX0099	 js	 js0018	 js	 js0027	 1734545268.523044	 11.98	 35
103	 exec	 EX0103	 js	 js0029	 js	 js0027	 1734545268.523221	 11.83	 2
104	 exec	 EX0104	 js	 js0029	 op	 op0041	 1734545268.523261	 11.96	 27
108	 exec	 EX0108	 js	 js0030	 op	 op0041	 1734545268.523463	 11.96	 25
110	 exec	 EX0110	 js	 js0030	 op	 op0044	 1734545268.523679	 12.22	 30
113	 exec	 EX0113	 js	 js0030	 op	 op0046	 1734545268.523931	 12.22	 8
114	 exec	 EX0114	 op	 op0006	 op	 op0046	 1734545268.524008	 11.76	 38
121	 exec	 EX0121	 js	 js0032	 js	 js0034	 1734545268.524622	 11.82	 23
122	 exec	 EX0122	 op	 op0006	 js	 js0034	 1734545268.524685	 11.76	 20
126	 exec	 EX0126	 js	 js0037	 op	 op0040	 1734545268.52499	 12.24	 45
128	 exec	 EX0128	 op	 op0006	 op	 op0049	 1734545268.525108	 11.76	 8
129	 exec	 EX0129	 op	 op0033	 op	 op0049	 1734545268.525166	 11.67	 36
132	 exec	 EX0132	 op	 op0050	 op	 op0040	 1734545268.525348	 12.24	 21
133	 exec	 EX0133	 op	 op0050	 js	 js0022	 1734545268.52541	 12.43	 24
138	 exec	 EX0138	 js	 js0040	 js	 js0041	 1734545268.52572	 12.42	 47
140	 exec	 EX0140	 js	 js0038	 js	 js0042	 1734545268.525839	 11.87	 42
143	 exec	 EX0143	 op	 op0053	 js	 js0022	 1734545268.526016	 12.43	 9
144	 exec	 EX0144	 op	 op0053	 js	 js0033	 1734545268.526073	 12.45	 45
149	 exec	 EX0149	 op	 op0057	 op	 op0055	 1734545268.526418	 12.11	 45
150	 exec	 EX0150	 op	 op0057	 js	 js0033	 1734545268.526475	 12.45	 14
154	 exec	 EX0154	 op	 op0058	 js	 js0033	 1734545268.526718	 12.45	 23
155	 exec	 EX0155	 op	 op0058	 op	 op0025	 1734545268.526775	 12.46	 15
174	 exec	 EX0174	 op	 op0063	 op	 op0025	 1734545268.528029	 12.46	 23
175	 exec	 EX0175	 op	 op0063	 js	 js0051	 1734545268.528125	 12.57	 27
178	 exec	 EX0178	 op	 op0061	 js	 js0058	 1734545268.528396	 12.35	 45
180	 exec	 EX0180	 op	 op0061	 js	 js0059	 1734545268.528517	 12.35	 26
