0	 o	 op	 op0000	 1734544088.021699	 13.01	 40
1	 o	 js	 js0000	 1734544088.021926	 12.39	 35
2	 o	 op	 op0001	 1734544088.022017	 13.22	 29
3	 o	 op	 op0002	 1734544088.022052	 14.07	 79
4	 b	 js	 js0001	 1734544088.022077	 11.89	 44
5	 o	 js	 js0002	 1734544088.022181	 13.55	 51
6	 b	 js	 js0003	 1734544088.022211	 12.37	 54
7	 b	 js	 js0004	 1734544088.022236	 11.02	 21
8	 b	 js	 js0005	 1734544088.022268	 10.86	 51
9	 o	 js	 js0006	 1734544088.02229	 10.59	 54
11	 o	 js	 js0007	 1734544088.022357	 12.95	 54
12	 o	 js	 js0008	 1734544088.022399	 12.84	 17
13	 o	 op	 op0003	 1734544088.022425	 13.78	 46
14	 o	 js	 js0009	 1734544088.022447	 11.98	 47
15	 o	 js	 js0010	 1734544088.022469	 13.26	 45
16	 b	 op	 op0004	 1734544088.022489	 12.36	 34
18	 b	 js	 js0011	 1734544088.02254	 12.48	 53
21	 b	 js	 js0012	 1734544088.022607	 10.74	 76
22	 o	 js	 js0013	 1734544088.022628	 12.61	 52
23	 b	 op	 op0005	 1734544088.022649	 10.95	 74
24	 b	 op	 op0006	 1734544088.022669	 11.79	 59
25	 o	 js	 js0014	 1734544088.02269	 13.17	 28
26	 o	 op	 op0007	 1734544088.022712	 11.57	 52
30	 o	 js	 js0015	 1734544088.022787	 11.01	 39
32	 b	 op	 op0008	 1734544088.022824	 11.61	 63
33	 o	 op	 op0009	 1734544088.022844	 12.67	 34
34	 o	 op	 op0010	 1734544088.022865	 11.03	 37
37	 o	 op	 op0011	 1734544088.022919	 13.48	 74
38	 b	 js	 js0016	 1734544088.022941	 12.14	 60
39	 b	 js	 js0017	 1734544088.022962	 12.82	 37
41	 o	 js	 js0018	 1734544088.023	 12.71	 31
42	 b	 op	 op0012	 1734544088.02302	 10.28	 55
43	 b	 js	 js0019	 1734544088.023041	 12.31	 57
44	 o	 op	 op0013	 1734544088.023062	 13.14	 35
45	 o	 op	 op0014	 1734544088.023082	 13.01	 48
46	 b	 op	 op0015	 1734544088.023102	 12.25	 68
47	 b	 js	 js0020	 1734544088.023123	 10.91	 60
48	 o	 op	 op0016	 1734544088.023143	 11.84	 54
50	 b	 js	 js0021	 1734544088.02318	 9.78	 24
51	 b	 op	 op0017	 1734544088.0232	 11.29	 39
52	 o	 js	 js0022	 1734544088.02322	 13.47	 49
53	 o	 js	 js0023	 1734544088.023241	 11.55	 81
57	 o	 js	 js0024	 1734544088.023315	 11.52	 60
60	 b	 js	 js0025	 1734544088.023372	 13.01	 62
64	 o	 js	 js0026	 1734544088.023446	 12.12	 77
65	 b	 op	 op0018	 1734544088.023468	 11.59	 52
66	 b	 op	 op0019	 1734544088.023489	 10.89	 45
67	 b	 js	 js0027	 1734544088.023511	 11.73	 61
68	 b	 op	 op0020	 1734544088.023531	 12.94	 38
70	 o	 js	 js0028	 1734544088.023567	 12.1	 42
71	 o	 js	 js0029	 1734544088.023588	 12.34	 54
72	 o	 op	 op0021	 1734544088.02361	 13.06	 57
73	 b	 js	 js0030	 1734544088.023633	 12.5	 23
75	 b	 op	 op0022	 1734544088.023676	 11.27	 52
